متى                                     مت
مرقس                                   مر
لوقا                                      لو
يوحنا                                   يو
أعمال الرسل                       أع
رومية          رو
1كورنثوس     1كو
2كورنثوس     2كو
غلاطيه               غل
افسس                       أف
فيلبي                       في
كولوسي                  كو
1تسالونيكي  1تس
2تسالونيكى    2تس
1تيموثاوس         1تيمو
2تيموثاوس          2تيمو
تيطس                          تي
فليمون                        فل
العبرانيين عب
يعقوب                                           يع
1بطرس                  1بط
2بطرس                   2بط
1يوحنا                     1يو
2يوحنا                        2يو
3يوحنا                         3يو
رسالة يهوذا                                      يه
سفر الرؤيا                                      رؤ
