تكوين                        تك
خروج                      خر
لاويين                        لا
عدد                           عد
تثنية                          تث
يشوع                        يش
قضاة                        قض
راعوث                         را
1صموئيل             1صم
2صموئيل             2صم
1ملوك               1 مل
2ملوك                2مل
1اخبار الايام            1أخ
2اخبار الايام            2أخ
عزرا                              عز
طوبيا                              طو
يهوديت                              يهو
نحميا                             نح
أستير                            أس
أيوب                              أي
مزامير                          مز
أمثال                            أم
جامعه                           جا
نشيد الانشاد                       نش
الحكمه                           حك
يشوع بن سيراخ                           سي
اشعياء                               إش
إرميا                                إر
مراثي ارميا                     مرا
نبوه باروخ                     با
حزقيال                          حز
دانيال                           دان
هوشع                           هو
يوئيل                               يؤ
عاموس                            عا
عوبيديا                              عو
يونان                             يون
ميخا                                 مي
ناحوم                                 نا
حبقوق                            حب
صفنيا                            صف
حجي                              حج
زكريا                              زك
ملاخي                             ملا
1مكابيين                             1 مك
2مكابيين                             2 مك
